YEAR,LR (seed),Random Forest,XGBoost,LightGBM,MLP,Ensemble,Ensemble MC (mean)
2015,890.0,1130.0,1100.0,1110.0,970.0,1110.0,744.6
2016,870.0,660.0,590.0,920.0,980.0,670.0,633.0
2017,820.0,870.0,970.0,930.0,1180.0,710.0,660.1
2018,810.0,1100.0,1080.0,1090.0,1110.0,1100.0,595.4
2019,920.0,970.0,930.0,910.0,720.0,950.0,691.0
2021,1000.0,980.0,970.0,1100.0,1050.0,1140.0,672.1
2022,620.0,820.0,770.0,620.0,810.0,840.0,613.0
2023,470.0,450.0,490.0,470.0,460.0,450.0,466.5
2024,1210.0,1220.0,900.0,920.0,1220.0,900.0,660.0
2025,1090.0,1130.0,1090.0,1190.0,1350.0,1270.0,760.9
Total,8700.0,9330.0,8890.0,9260.0,9850.0,9140.0,6496.6
Average,870.0,933.0,889.0,926.0,985.0,914.0,649.7
