filename,row_count,year_min,year_max,extra_columns,total_nulls,null_detail,unique_columns
538 Ratings.csv,544,2016,2024,"POWER RATING, POWER RATING RANK",0,,"POWER RATING, POWER RATING RANK"
AP Poll Data.csv,15372,2008,2025,"WEEK, W, L, AP VOTES, AP RANK, RANK?",16301,TEAM NO:3177; SEED:3177; ROUND:3177; W:3383; L:3383; AP VOTES:2; AP RANK:2,"WEEK, AP VOTES, AP RANK, RANK?"
Barttorvik Away-Neutral.csv,1147,2008,2025,"BADJ EM, BADJ O, BADJ D, BARTHAG, GAMES, W, L, WIN%, EFG%, EFG%D, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST%, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB, BADJ EM RANK, BADJ O RANK, BADJ D RANK, BARTHAG RANK, EFG% RANK, EFGD% RANK, FTR RANK, FTRD RANK, TOV% RANK, TOV%D RANK, OREB% RANK, DREB% RANK, OP OREB% RANK, OP DREB% RANK, RAW T RANK, 2PT% RANK, 2PT%D RANK, 3PT% RANK, 3PT%D RANK, BLK% RANK, BLKED% RANK, AST% RANK, OP AST% RANK, 2PTR RANK, 3PTR RANK, 2PTRD RANK, 3PTRD RANK, BADJT RANK, AVG HGT RANK, EFF HGT RANK, EXP RANK, TALENT RANK, FT% RANK, OP FT% RANK, PPPO RANK, PPPD RANK, ELITE SOS RANK",0,,
Barttorvik Away.csv,1147,2008,2025,"BADJ EM, BADJ O, BADJ D, BARTHAG, GAMES, W, L, WIN%, EFG%, EFG%D, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST%, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB, BADJ EM RANK, BADJ O RANK, BADJ D RANK, BARTHAG RANK, EFG% RANK, EFGD% RANK, FTR RANK, FTRD RANK, TOV% RANK, TOV%D RANK, OREB% RANK, DREB% RANK, OP OREB% RANK, OP DREB% RANK, RAW T RANK, 2PT% RANK, 2PT%D RANK, 3PT% RANK, 3PT%D RANK, BLK% RANK, BLKED% RANK, AST% RANK, OP AST% RANK, 2PTR RANK, 3PTR RANK, 2PTRD RANK, 3PTRD RANK, BADJT RANK, AVG HGT RANK, EFF HGT RANK, EXP RANK, TALENT RANK, FT% RANK, OP FT% RANK, PPPO RANK, PPPD RANK, ELITE SOS RANK",0,,
Barttorvik Home.csv,1147,2008,2025,"BADJ EM, BADJ O, BADJ D, BARTHAG, GAMES, W, L, WIN%, EFG%, EFG%D, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST%, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB, BADJ EM RANK, BADJ O RANK, BADJ D RANK, BARTHAG RANK, EFG% RANK, EFGD% RANK, FTR RANK, FTRD RANK, TOV% RANK, TOV%D RANK, OREB% RANK, DREB% RANK, OP OREB% RANK, OP DREB% RANK, RAW T RANK, 2PT% RANK, 2PT%D RANK, 3PT% RANK, 3PT%D RANK, BLK% RANK, BLKED% RANK, AST% RANK, OP AST% RANK, 2PTR RANK, 3PTR RANK, 2PTRD RANK, 3PTRD RANK, BADJT RANK, AVG HGT RANK, EFF HGT RANK, EXP RANK, TALENT RANK, FT% RANK, OP FT% RANK, PPPO RANK, PPPD RANK, ELITE SOS RANK",0,,
Barttorvik Neutral.csv,1147,2008,2025,"BADJ EM, BADJ O, BADJ D, BARTHAG, GAMES, W, L, WIN%, EFG%, EFG%D, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST%, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB, BADJ EM RANK, BADJ O RANK, BADJ D RANK, BARTHAG RANK, EFG% RANK, EFGD% RANK, FTR RANK, FTRD RANK, TOV% RANK, TOV%D RANK, OREB% RANK, DREB% RANK, OP OREB% RANK, OP DREB% RANK, RAW T RANK, 2PT% RANK, 2PT%D RANK, 3PT% RANK, 3PT%D RANK, BLK% RANK, BLKED% RANK, AST% RANK, OP AST% RANK, 2PTR RANK, 3PTR RANK, 2PTRD RANK, 3PTRD RANK, BADJT RANK, AVG HGT RANK, EFF HGT RANK, EXP RANK, TALENT RANK, FT% RANK, OP FT% RANK, PPPO RANK, PPPD RANK, ELITE SOS RANK",2607,BADJ EM:33; BADJ O:33; BADJ D:33; BARTHAG:33; GAMES:33; W:33; L:33; WIN%:33; EFG%:33; EFG%D:33; FTR:33; FTRD:33; TOV%:33; TOV%D:33; OREB%:33; DREB%:33; OP OREB%:33; OP DREB%:33; RAW T:33; 2PT%:33; 2PT%D:33; 3PT%:33; 3PT%D:33; BLK%:33; BLKED%:33; AST%:33; OP AST%:33; 2PTR:33; 3PTR:33; 2PTRD:33; 3PTRD:33; BADJ T:33; AVG HGT:33; EFF HGT:33; EXP:33; TALENT:33; FT%:33; OP FT%:33; PPPO:33; PPPD:33; ELITE SOS:33; WAB:33; BADJ EM RANK:33; BADJ O RANK:33; BADJ D RANK:33; BARTHAG RANK:33; EFG% RANK:33; EFGD% RANK:33; FTR RANK:33; FTRD RANK:33; TOV% RANK:33; TOV%D RANK:33; OREB% RANK:33; DREB% RANK:33; OP OREB% RANK:33; OP DREB% RANK:33; RAW T RANK:33; 2PT% RANK:33; 2PT%D RANK:33; 3PT% RANK:33; 3PT%D RANK:33; BLK% RANK:33; BLKED% RANK:33; AST% RANK:33; OP AST% RANK:33; 2PTR RANK:33; 3PTR RANK:33; 2PTRD RANK:33; 3PTRD RANK:33; BADJT RANK:33; AVG HGT RANK:33; EFF HGT RANK:33; EXP RANK:33; TALENT RANK:33; FT% RANK:33; OP FT% RANK:33; PPPO RANK:33; PPPD RANK:33; ELITE SOS RANK:33,
Coach Results.csv,319,,,"COACH ID, COACH, PAKE, PAKE RANK, PASE, PASE RANK, GAMES, W, L, WIN%, R64, R32, S16, E8, F4, F2, CHAMP, TOP2, F4%, CHAMP%",0,,"COACH ID, COACH"
Conference Results.csv,32,,,"CONF ID, CONF, PAKE, PAKE RANK, PASE, PASE RANK, GAMES, W, L, WIN%, R64, R32, S16, E8, F4, F2, CHAMP, TOP2, CHAMP%",0,,
Conference Stats Away Neutral.csv,550,2008,2025,"CONF ID, CONF, BADJ EM, BADJ O, BADJ D, BARTHAG, G, W, L, WIN%, EFG%, EFGD%, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST %, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB",0,,
Conference Stats Away.csv,550,2008,2025,"CONF ID, CONF, BADJ EM, BADJ O, BADJ D, BARTHAG, G, W, L, WIN%, EFG%, EFGD%, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST %, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB",0,,
