feature,perm_imp,shap_imp,norm_perm,norm_shap,combined
DIFF_KADJ EM CHANGE,0.002817434755148421,0.39257623851299284,1.0,1.0,1.0
DIFF_BADJ EM,0.002712167188531069,0.24074649438261986,0.9644169704940344,0.61274712451937,0.7885820475067022
DIFF_NEUTRAL BADJ EM,0.002189857058173772,0.2158452682197094,0.7878632856603542,0.5492347245623479,0.6685490051113511
DIFF_WAB,0.0017831285595519039,0.1657624773681164,0.6503790383044039,0.4214949007191321,0.535936969511768
DIFF_BADJ D,0.0017913330784967256,0.12730901688337326,0.6531523677265332,0.3234165351775898,0.48828445145206145
DIFF_KADJ EM,0.0017471378076030788,0.06762975715100765,0.6382132779501998,0.17120021504687108,0.40470674649853544
DIFF_FTR,0.001358198711711897,0.1189409002661705,0.5067422867433203,0.3020730412467405,0.4044076639950304
DIFF_TALENT,0.001400026846981885,0.1037970881909132,0.5208812263931912,0.2634476401076464,0.39216443325041883
DIFF_TR LO,0.0012827253304682341,0.11414294838905334,0.4812304255119279,0.2898355138012891,0.3855329696566085
DIFF_THREES FG%D,0.000639560522247183,0.19805675595998765,0.2638248837716298,0.5038638220257241,0.38384435289867697
DIFF_TR RATING,0.001192493646782315,0.1037227340042591,0.4507298946633335,0.26325799431228036,0.35699394448780697
DIFF_NEUTRAL EFG%D,0.0009168411458312658,0.13875766098499298,0.357552561986988,0.35261713993458405,0.355084850960786
DIFF_RPPF RATING CHANGE,0.0004012601302130797,0.2053667701780796,0.183273483625225,0.522508548340547,0.352891015982886
DIFF_BARTHAG,0.0008492747120044875,0.14349439814686776,0.3347134436742178,0.3646985347682398,0.3497059892212288
DIFF_W,0.0010964344114336466,0.11011082157492638,0.41825950786169985,0.2795512792330451,0.3489053935473725
DIFF_NEUTRAL BADJ O,0.0012267327249240749,0.08671683445572853,0.46230354613951835,0.2198832027783612,0.3410933744589398
DIFF_DUNKS FG%D,0.0006611914816413943,0.15711545646190644,0.2711366806631112,0.39944004098495794,0.33528836082403457
DIFF_PEAK DECLINE,0.0006459717466976578,0.15426401868462564,0.2659920354986178,0.3921672402249309,0.3290796378617743
DIFF_GAMES,0.0005555352367948184,0.15261967852711678,0.23542226834529562,0.38797323029683145,0.31169774932106353
DIFF_TR LAST,0.0014827307575436808,0.029364587925374507,0.5488371845704748,0.07360210014354102,0.31121964235700794
DIFF_OREB%,0.0007803669122483632,0.1052041869610548,0.31142091064905364,0.2670365485125416,0.2892287295807976
DIFF_KADJ O,0.0014930854601831972,0.00976284450152889,0.5523373290250981,0.023606418804582426,0.2879718739148403
DIFF_PROG_GAMES,0.001050099771669533,0.06587610635906457,0.40259725872975344,0.16672740034472874,0.2846623295372411
DIFF_RECOVERY,0.0007721938546104629,0.1016987182199955,0.3086582159233315,0.25809559390804054,0.283376904915686
DIFF_NEUTRAL BARTHAG,0.0013580964624644132,0.022059035021811724,0.5067077239800012,0.05496875273796765,0.2808382383589844
DIFF_TOV%D,0.0001936551589071083,0.15574342459440232,0.11309789149419322,0.39594057328193794,0.25451923238806556
