YEAR,GAME_ID,TEAM_NO_A,TEAM_A,SEED_A,SCORE_A,TEAM_NO_B,TEAM_B,SEED_B,SCORE_B,TEAM_A_WIN,PROG_GAMES_A,PROG_W_A,PROG_L_A,PROG_WIN%_A,PROG_F4%_A,PROG_CHAMP%_A,SEED_GAMES_A,SEED_W_A,SEED_L_A,SEED_WIN%_A,SEED_CHAMP%_A,CONF_GAMES_A,CONF_W_A,CONF_L_A,CONF_WIN%_A,CONF_CHAMP%_A,ADJOE_A,PROG_GAMES_B,PROG_W_B,PROG_L_B,PROG_WIN%_B,PROG_F4%_B,PROG_CHAMP%_B,SEED_GAMES_B,SEED_W_B,SEED_L_B,SEED_WIN%_B,SEED_CHAMP%_B,CONF_GAMES_B,CONF_W_B,CONF_L_B,CONF_WIN%_B,CONF_CHAMP%_B,ADJOE_B,DIFF_SEED,DIFF_ADJOE,DIFF_PROG_GAMES,DIFF_PROG_W,DIFF_PROG_L,DIFF_PROG_WIN%,DIFF_PROG_F4%,DIFF_PROG_CHAMP%,DIFF_SEED_GAMES,DIFF_SEED_W,DIFF_SEED_L,DIFF_SEED_WIN%,DIFF_SEED_CHAMP%,DIFF_CONF_GAMES,DIFF_CONF_W,DIFF_CONF_L,DIFF_CONF_WIN%,DIFF_CONF_CHAMP%
2008,1007,31,North Carolina,1,113,32,Mount St. Mary's,16,74,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,120.686,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,99.0167,-15,21.669300000000007,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1007,32,Mount St. Mary's,16,74,31,North Carolina,1,113,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,99.0167,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,120.686,15,-21.669300000000007,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1008,44,Indiana,8,72,63,Arkansas,9,86,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.362,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.701,-1,4.661000000000001,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1008,63,Arkansas,9,86,44,Indiana,8,72,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.701,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.362,1,-4.661000000000001,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1009,30,Notre Dame,5,68,48,George Mason,12,50,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.335,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,111.486,-7,4.8489999999999895,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1009,48,George Mason,12,50,30,Notre Dame,5,68,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,111.486,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.335,7,-4.8489999999999895,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1010,6,Washington St.,4,71,3,Winthrop,13,40,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.272,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,99.6932,-9,16.5788,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1010,3,Winthrop,13,40,6,Washington St.,4,71,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,99.6932,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.272,9,-16.5788,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1011,29,Oklahoma,6,72,23,Saint Joseph's,11,64,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.474,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.718,-5,-5.244,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1011,23,Saint Joseph's,11,64,29,Oklahoma,6,72,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.718,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.474,5,5.244,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1012,39,Louisville,3,79,59,Boise St.,14,61,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,111.828,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.605,-11,3.222999999999999,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1012,59,Boise St.,14,61,39,Louisville,3,79,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.605,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,111.828,11,-3.222999999999999,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1013,58,Butler,7,81,19,South Alabama,10,61,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.138,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.779,-3,3.359000000000009,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1013,19,South Alabama,10,61,58,Butler,7,81,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.779,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.138,3,-3.359000000000009,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
