YEAR,train_rows,test_rows,LR (seed)_acc,LR (seed)_ll,LR (seed)_auc,Random Forest_acc,Random Forest_ll,Random Forest_auc,XGBoost_acc,XGBoost_ll,XGBoost_auc,LightGBM_acc,LightGBM_ll,LightGBM_auc,MLP_acc,MLP_ll,MLP_auc
2015,882,126,0.7937,0.5233,0.8287,0.8651,0.4343,0.8881,0.8016,0.6088,0.8403,0.7937,0.6117,0.8496,0.754,0.8926,0.8352
2016,1008,126,0.6746,0.5884,0.7532,0.7302,0.5422,0.7916,0.6349,0.7396,0.7292,0.6429,0.7421,0.7387,0.6905,0.9461,0.7685
2017,1134,126,0.7698,0.5269,0.8134,0.8254,0.3952,0.9093,0.8095,0.3833,0.9093,0.8016,0.3738,0.906,0.7778,0.5245,0.8919
2018,1260,126,0.6746,0.5977,0.7426,0.7778,0.5341,0.8042,0.6905,0.6814,0.7702,0.7063,0.6983,0.7831,0.7381,0.906,0.7947
2019,1386,126,0.6825,0.5186,0.8221,0.7143,0.523,0.8125,0.7381,0.565,0.8244,0.6905,0.6118,0.809,0.754,0.6908,0.8468
2021,1512,124,0.6855,0.6466,0.7012,0.7661,0.5049,0.8306,0.7339,0.5383,0.8291,0.6935,0.5467,0.8197,0.7258,0.6448,0.8426
2022,1636,126,0.6667,0.6203,0.7286,0.7698,0.4692,0.8584,0.746,0.5205,0.8267,0.7619,0.556,0.8236,0.7302,0.6731,0.8088
2023,1762,126,0.6984,0.5981,0.748,0.7143,0.5002,0.8272,0.7302,0.5507,0.8146,0.7381,0.533,0.8193,0.6746,0.8418,0.7601
2024,1888,126,0.6905,0.5605,0.7807,0.7143,0.5455,0.8022,0.6587,0.6392,0.7926,0.6746,0.6294,0.7964,0.6905,0.7594,0.7717
2025,2014,126,0.8016,0.4821,0.8747,0.754,0.5099,0.8211,0.746,0.6034,0.8171,0.7302,0.6088,0.8176,0.7063,0.6469,0.8085
