round,team_a,seed_a,team_b,seed_b,p_a_wins,winner,winner_seed
R64,Auburn,1,Alabama St.,16,0.9052,Auburn,1
R64,Louisville,8,Creighton,9,0.6102,Louisville,8
R64,Michigan,5,UC San Diego,12,0.6983,Michigan,5
R64,Texas A&M,4,Yale,13,0.8109,Texas A&M,4
R64,Mississippi,6,North Carolina,11,0.4997,North Carolina,11
R64,Iowa St.,3,Lipscomb,14,0.8772,Iowa St.,3
R64,Marquette,7,New Mexico,10,0.6772,Marquette,7
R64,Michigan St.,2,Bryant,15,0.8891,Michigan St.,2
R32,Auburn,1,Louisville,8,0.6971,Auburn,1
R32,Michigan,5,Texas A&M,4,0.4463,Texas A&M,4
R32,North Carolina,11,Iowa St.,3,0.4659,Iowa St.,3
R32,Marquette,7,Michigan St.,2,0.3419,Michigan St.,2
S16,Auburn,1,Texas A&M,4,0.7248,Auburn,1
S16,Iowa St.,3,Michigan St.,2,0.5158,Iowa St.,3
E8,Auburn,1,Iowa St.,3,0.6066,Auburn,1
R64,Florida,1,Norfolk St.,16,0.9093,Florida,1
R64,Connecticut,8,Oklahoma,9,0.5835,Connecticut,8
R64,Memphis,5,Colorado St.,12,0.4966,Colorado St.,12
R64,Maryland,4,Grand Canyon,13,0.8811,Maryland,4
R64,Missouri,6,Drake,11,0.6936,Missouri,6
R64,Texas Tech,3,UNC Wilmington,14,0.8831,Texas Tech,3
R64,Kansas,7,Arkansas,10,0.5753,Kansas,7
R64,St. John's,2,Nebraska Omaha,15,0.9062,St. John's,2
R32,Florida,1,Connecticut,8,0.7863,Florida,1
R32,Colorado St.,12,Maryland,4,0.284,Maryland,4
R32,Missouri,6,Texas Tech,3,0.452,Texas Tech,3
R32,Kansas,7,St. John's,2,0.4327,St. John's,2
S16,Florida,1,Maryland,4,0.719,Florida,1
S16,Texas Tech,3,St. John's,2,0.5161,Texas Tech,3
E8,Florida,1,Texas Tech,3,0.7116,Florida,1
R64,Duke,1,Mount St. Mary's,16,0.9189,Duke,1
R64,Mississippi St.,8,Baylor,9,0.4166,Baylor,9
R64,Oregon,5,Liberty,12,0.6814,Oregon,5
R64,Arizona,4,Akron,13,0.8693,Arizona,4
R64,BYU,6,VCU,11,0.6153,BYU,6
R64,Wisconsin,3,Montana,14,0.8842,Wisconsin,3
R64,Saint Mary's,7,Vanderbilt,10,0.7695,Saint Mary's,7
R64,Alabama,2,Robert Morris,15,0.8712,Alabama,2
R32,Duke,1,Baylor,9,0.8933,Duke,1
R32,Oregon,5,Arizona,4,0.3054,Arizona,4
R32,BYU,6,Wisconsin,3,0.5438,BYU,6
R32,Saint Mary's,7,Alabama,2,0.3505,Alabama,2
S16,Duke,1,Arizona,4,0.8003,Duke,1
S16,BYU,6,Alabama,2,0.3776,Alabama,2
E8,Duke,1,Alabama,2,0.7876,Duke,1
R64,Houston,1,SIU Edwardsville,16,0.905,Houston,1
R64,Gonzaga,8,Georgia,9,0.6934,Gonzaga,8
R64,Clemson,5,McNeese St.,12,0.7697,Clemson,5
R64,Purdue,4,High Point,13,0.8561,Purdue,4
R64,Illinois,6,Xavier,11,0.6318,Illinois,6
R64,Kentucky,3,Troy,14,0.8278,Kentucky,3
R64,UCLA,7,Utah St.,10,0.719,UCLA,7
R64,Tennessee,2,Wofford,15,0.911,Tennessee,2
R32,Houston,1,Gonzaga,8,0.7395,Houston,1
R32,Clemson,5,Purdue,4,0.4838,Purdue,4
R32,Illinois,6,Kentucky,3,0.4491,Kentucky,3
R32,UCLA,7,Tennessee,2,0.3189,Tennessee,2
S16,Houston,1,Purdue,4,0.8114,Houston,1
S16,Kentucky,3,Tennessee,2,0.324,Tennessee,2
E8,Houston,1,Tennessee,2,0.6564,Houston,1
F4,Auburn,1,Florida,1,0.526,Auburn,1
F4,Duke,1,Houston,1,0.4664,Houston,1
CHAMP,Auburn,1,Houston,1,0.3444,Houston,1
