round,team_a,seed_a,team_b,seed_b,p_a_wins,winner,winner_seed
R64,Auburn,1,Alabama St.,16,0.9146,Auburn,1
R64,Louisville,8,Creighton,9,0.6068,Louisville,8
R64,Michigan,5,UC San Diego,12,0.6372,Michigan,5
R64,Texas A&M,4,Yale,13,0.8205,Texas A&M,4
R64,Mississippi,6,North Carolina,11,0.579,Mississippi,6
R64,Iowa St.,3,Lipscomb,14,0.8847,Iowa St.,3
R64,Marquette,7,New Mexico,10,0.7051,Marquette,7
R64,Michigan St.,2,Bryant,15,0.9113,Michigan St.,2
R32,Auburn,1,Louisville,8,0.7667,Auburn,1
R32,Michigan,5,Texas A&M,4,0.4961,Texas A&M,4
R32,Mississippi,6,Iowa St.,3,0.4148,Iowa St.,3
R32,Marquette,7,Michigan St.,2,0.3094,Michigan St.,2
S16,Auburn,1,Texas A&M,4,0.7663,Auburn,1
S16,Iowa St.,3,Michigan St.,2,0.4358,Michigan St.,2
E8,Auburn,1,Michigan St.,2,0.6539,Auburn,1
R64,Florida,1,Norfolk St.,16,0.9182,Florida,1
R64,Connecticut,8,Oklahoma,9,0.5615,Connecticut,8
R64,Memphis,5,Colorado St.,12,0.4684,Colorado St.,12
R64,Maryland,4,Grand Canyon,13,0.8887,Maryland,4
R64,Missouri,6,Drake,11,0.6735,Missouri,6
R64,Texas Tech,3,UNC Wilmington,14,0.8636,Texas Tech,3
R64,Kansas,7,Arkansas,10,0.5936,Kansas,7
R64,St. John's,2,Nebraska Omaha,15,0.8672,St. John's,2
R32,Florida,1,Connecticut,8,0.7788,Florida,1
R32,Colorado St.,12,Maryland,4,0.2357,Maryland,4
R32,Missouri,6,Texas Tech,3,0.5039,Missouri,6
R32,Kansas,7,St. John's,2,0.4141,St. John's,2
S16,Florida,1,Maryland,4,0.7465,Florida,1
S16,Missouri,6,St. John's,2,0.5211,Missouri,6
E8,Florida,1,Missouri,6,0.7597,Florida,1
R64,Duke,1,Mount St. Mary's,16,0.8682,Duke,1
R64,Mississippi St.,8,Baylor,9,0.5001,Mississippi St.,8
R64,Oregon,5,Liberty,12,0.689,Oregon,5
R64,Arizona,4,Akron,13,0.88,Arizona,4
R64,BYU,6,VCU,11,0.6436,BYU,6
R64,Wisconsin,3,Montana,14,0.8879,Wisconsin,3
R64,Saint Mary's,7,Vanderbilt,10,0.7252,Saint Mary's,7
R64,Alabama,2,Robert Morris,15,0.8407,Alabama,2
R32,Duke,1,Mississippi St.,8,0.8396,Duke,1
R32,Oregon,5,Arizona,4,0.3516,Arizona,4
R32,BYU,6,Wisconsin,3,0.4769,Wisconsin,3
R32,Saint Mary's,7,Alabama,2,0.3164,Alabama,2
S16,Duke,1,Arizona,4,0.7615,Duke,1
S16,Wisconsin,3,Alabama,2,0.4499,Alabama,2
E8,Duke,1,Alabama,2,0.7278,Duke,1
R64,Houston,1,SIU Edwardsville,16,0.9002,Houston,1
R64,Gonzaga,8,Georgia,9,0.6899,Gonzaga,8
R64,Clemson,5,McNeese St.,12,0.7546,Clemson,5
R64,Purdue,4,High Point,13,0.8663,Purdue,4
R64,Illinois,6,Xavier,11,0.7155,Illinois,6
R64,Kentucky,3,Troy,14,0.8691,Kentucky,3
R64,UCLA,7,Utah St.,10,0.7078,UCLA,7
R64,Tennessee,2,Wofford,15,0.9074,Tennessee,2
R32,Houston,1,Gonzaga,8,0.7641,Houston,1
R32,Clemson,5,Purdue,4,0.4091,Purdue,4
R32,Illinois,6,Kentucky,3,0.4123,Kentucky,3
R32,UCLA,7,Tennessee,2,0.293,Tennessee,2
S16,Houston,1,Purdue,4,0.8135,Houston,1
S16,Kentucky,3,Tennessee,2,0.3298,Tennessee,2
E8,Houston,1,Tennessee,2,0.6587,Houston,1
F4,Auburn,1,Florida,1,0.4494,Florida,1
F4,Duke,1,Houston,1,0.4732,Houston,1
CHAMP,Florida,1,Houston,1,0.4971,Houston,1
