round,team_a,seed_a,team_b,seed_b,p_a_wins,winner,winner_seed
R64,Auburn,1,Alabama St.,16,0.9773,Auburn,1
R64,Louisville,8,Creighton,9,0.6143,Louisville,8
R64,Michigan,5,UC San Diego,12,0.5459,Michigan,5
R64,Texas A&M,4,Yale,13,0.7644,Texas A&M,4
R64,Mississippi,6,North Carolina,11,0.1606,North Carolina,11
R64,Iowa St.,3,Lipscomb,14,0.9305,Iowa St.,3
R64,Marquette,7,New Mexico,10,0.7712,Marquette,7
R64,Michigan St.,2,Bryant,15,0.7874,Michigan St.,2
R32,Auburn,1,Louisville,8,0.5782,Auburn,1
R32,Michigan,5,Texas A&M,4,0.6843,Michigan,5
R32,North Carolina,11,Iowa St.,3,0.7023,North Carolina,11
R32,Marquette,7,Michigan St.,2,0.2597,Michigan St.,2
S16,Auburn,1,Michigan,5,0.6913,Auburn,1
S16,North Carolina,11,Michigan St.,2,0.5533,North Carolina,11
E8,Auburn,1,North Carolina,11,0.4786,North Carolina,11
R64,Florida,1,Norfolk St.,16,0.9334,Florida,1
R64,Connecticut,8,Oklahoma,9,0.7838,Connecticut,8
R64,Memphis,5,Colorado St.,12,0.7541,Memphis,5
R64,Maryland,4,Grand Canyon,13,0.866,Maryland,4
R64,Missouri,6,Drake,11,0.6678,Missouri,6
R64,Texas Tech,3,UNC Wilmington,14,0.9772,Texas Tech,3
R64,Kansas,7,Arkansas,10,0.4862,Arkansas,10
R64,St. John's,2,Nebraska Omaha,15,0.7265,St. John's,2
R32,Florida,1,Connecticut,8,0.5742,Florida,1
R32,Memphis,5,Maryland,4,0.6224,Memphis,5
R32,Missouri,6,Texas Tech,3,0.1727,Texas Tech,3
R32,Arkansas,10,St. John's,2,0.9459,Arkansas,10
S16,Florida,1,Memphis,5,0.871,Florida,1
S16,Texas Tech,3,Arkansas,10,0.7678,Texas Tech,3
E8,Florida,1,Texas Tech,3,0.702,Florida,1
R64,Duke,1,Mount St. Mary's,16,0.9753,Duke,1
R64,Mississippi St.,8,Baylor,9,0.1706,Baylor,9
R64,Oregon,5,Liberty,12,0.8292,Oregon,5
R64,Arizona,4,Akron,13,0.9702,Arizona,4
R64,BYU,6,VCU,11,0.4483,VCU,11
R64,Wisconsin,3,Montana,14,0.9753,Wisconsin,3
R64,Saint Mary's,7,Vanderbilt,10,0.7071,Saint Mary's,7
R64,Alabama,2,Robert Morris,15,0.975,Alabama,2
R32,Duke,1,Baylor,9,0.8591,Duke,1
R32,Oregon,5,Arizona,4,0.3814,Arizona,4
R32,VCU,11,Wisconsin,3,0.1338,Wisconsin,3
R32,Saint Mary's,7,Alabama,2,0.1096,Alabama,2
S16,Duke,1,Arizona,4,0.8328,Duke,1
S16,Wisconsin,3,Alabama,2,0.6203,Wisconsin,3
E8,Duke,1,Wisconsin,3,0.7741,Duke,1
R64,Houston,1,SIU Edwardsville,16,0.8316,Houston,1
R64,Gonzaga,8,Georgia,9,0.9705,Gonzaga,8
R64,Clemson,5,McNeese St.,12,0.833,Clemson,5
R64,Purdue,4,High Point,13,0.7961,Purdue,4
R64,Illinois,6,Xavier,11,0.48,Xavier,11
R64,Kentucky,3,Troy,14,0.9749,Kentucky,3
R64,UCLA,7,Utah St.,10,0.9667,UCLA,7
R64,Tennessee,2,Wofford,15,0.9001,Tennessee,2
R32,Houston,1,Gonzaga,8,0.7037,Houston,1
R32,Clemson,5,Purdue,4,0.2682,Purdue,4
R32,Xavier,11,Kentucky,3,0.1836,Kentucky,3
R32,UCLA,7,Tennessee,2,0.5635,UCLA,7
S16,Houston,1,Purdue,4,0.7454,Houston,1
S16,Kentucky,3,UCLA,7,0.7538,Kentucky,3
E8,Houston,1,Kentucky,3,0.4034,Kentucky,3
F4,North Carolina,11,Florida,1,0.3783,Florida,1
F4,Duke,1,Kentucky,3,0.6409,Duke,1
CHAMP,Florida,1,Duke,1,0.4244,Duke,1
