round,team_a,seed_a,team_b,seed_b,p_a_wins,winner,winner_seed
R64,Auburn,1,Alabama St.,16,0.9155,Auburn,1
R64,Louisville,8,Creighton,9,0.634,Louisville,8
R64,Michigan,5,UC San Diego,12,0.6268,Michigan,5
R64,Texas A&M,4,Yale,13,0.8255,Texas A&M,4
R64,Mississippi,6,North Carolina,11,0.6228,Mississippi,6
R64,Iowa St.,3,Lipscomb,14,0.8813,Iowa St.,3
R64,Marquette,7,New Mexico,10,0.7819,Marquette,7
R64,Michigan St.,2,Bryant,15,0.9054,Michigan St.,2
R32,Auburn,1,Louisville,8,0.7683,Auburn,1
R32,Michigan,5,Texas A&M,4,0.5039,Michigan,5
R32,Mississippi,6,Iowa St.,3,0.4692,Iowa St.,3
R32,Marquette,7,Michigan St.,2,0.2912,Michigan St.,2
S16,Auburn,1,Michigan,5,0.7972,Auburn,1
S16,Iowa St.,3,Michigan St.,2,0.4247,Michigan St.,2
E8,Auburn,1,Michigan St.,2,0.6564,Auburn,1
R64,Florida,1,Norfolk St.,16,0.9231,Florida,1
R64,Connecticut,8,Oklahoma,9,0.5408,Connecticut,8
R64,Memphis,5,Colorado St.,12,0.4705,Colorado St.,12
R64,Maryland,4,Grand Canyon,13,0.8931,Maryland,4
R64,Missouri,6,Drake,11,0.6428,Missouri,6
R64,Texas Tech,3,UNC Wilmington,14,0.8578,Texas Tech,3
R64,Kansas,7,Arkansas,10,0.5823,Kansas,7
R64,St. John's,2,Nebraska Omaha,15,0.8711,St. John's,2
R32,Florida,1,Connecticut,8,0.7794,Florida,1
R32,Colorado St.,12,Maryland,4,0.203,Maryland,4
R32,Missouri,6,Texas Tech,3,0.601,Missouri,6
R32,Kansas,7,St. John's,2,0.4222,St. John's,2
S16,Florida,1,Maryland,4,0.8058,Florida,1
S16,Missouri,6,St. John's,2,0.5039,Missouri,6
E8,Florida,1,Missouri,6,0.8122,Florida,1
R64,Duke,1,Mount St. Mary's,16,0.8711,Duke,1
R64,Mississippi St.,8,Baylor,9,0.4823,Baylor,9
R64,Oregon,5,Liberty,12,0.7597,Oregon,5
R64,Arizona,4,Akron,13,0.8829,Arizona,4
R64,BYU,6,VCU,11,0.6684,BYU,6
R64,Wisconsin,3,Montana,14,0.8898,Wisconsin,3
R64,Saint Mary's,7,Vanderbilt,10,0.7587,Saint Mary's,7
R64,Alabama,2,Robert Morris,15,0.8222,Alabama,2
R32,Duke,1,Baylor,9,0.8521,Duke,1
R32,Oregon,5,Arizona,4,0.3718,Arizona,4
R32,BYU,6,Wisconsin,3,0.5087,BYU,6
R32,Saint Mary's,7,Alabama,2,0.3278,Alabama,2
S16,Duke,1,Arizona,4,0.8037,Duke,1
S16,BYU,6,Alabama,2,0.3,Alabama,2
E8,Duke,1,Alabama,2,0.7887,Duke,1
R64,Houston,1,SIU Edwardsville,16,0.9012,Houston,1
R64,Gonzaga,8,Georgia,9,0.7278,Gonzaga,8
R64,Clemson,5,McNeese St.,12,0.7811,Clemson,5
R64,Purdue,4,High Point,13,0.8816,Purdue,4
R64,Illinois,6,Xavier,11,0.7587,Illinois,6
R64,Kentucky,3,Troy,14,0.8757,Kentucky,3
R64,UCLA,7,Utah St.,10,0.767,UCLA,7
R64,Tennessee,2,Wofford,15,0.9055,Tennessee,2
R32,Houston,1,Gonzaga,8,0.7869,Houston,1
R32,Clemson,5,Purdue,4,0.3996,Purdue,4
R32,Illinois,6,Kentucky,3,0.3918,Kentucky,3
R32,UCLA,7,Tennessee,2,0.2832,Tennessee,2
S16,Houston,1,Purdue,4,0.8493,Houston,1
S16,Kentucky,3,Tennessee,2,0.2889,Tennessee,2
E8,Houston,1,Tennessee,2,0.6722,Houston,1
F4,Auburn,1,Florida,1,0.3798,Florida,1
F4,Duke,1,Houston,1,0.4282,Houston,1
CHAMP,Florida,1,Houston,1,0.5349,Florida,1
