round,team_a,seed_a,team_b,seed_b,p_a_wins,winner,winner_seed
R64,Auburn,1,Alabama St.,16,0.9686,Auburn,1
R64,Louisville,8,Creighton,9,0.6938,Louisville,8
R64,Michigan,5,UC San Diego,12,0.7301,Michigan,5
R64,Texas A&M,4,Yale,13,0.8351,Texas A&M,4
R64,Mississippi,6,North Carolina,11,0.3655,North Carolina,11
R64,Iowa St.,3,Lipscomb,14,0.867,Iowa St.,3
R64,Marquette,7,New Mexico,10,0.7343,Marquette,7
R64,Michigan St.,2,Bryant,15,0.9046,Michigan St.,2
R32,Auburn,1,Louisville,8,0.6098,Auburn,1
R32,Michigan,5,Texas A&M,4,0.5434,Michigan,5
R32,North Carolina,11,Iowa St.,3,0.4683,Iowa St.,3
R32,Marquette,7,Michigan St.,2,0.3578,Michigan St.,2
S16,Auburn,1,Michigan,5,0.6492,Auburn,1
S16,Iowa St.,3,Michigan St.,2,0.3772,Michigan St.,2
E8,Auburn,1,Michigan St.,2,0.5319,Auburn,1
R64,Florida,1,Norfolk St.,16,0.961,Florida,1
R64,Connecticut,8,Oklahoma,9,0.7108,Connecticut,8
R64,Memphis,5,Colorado St.,12,0.5806,Memphis,5
R64,Maryland,4,Grand Canyon,13,0.8158,Maryland,4
R64,Missouri,6,Drake,11,0.5967,Missouri,6
R64,Texas Tech,3,UNC Wilmington,14,0.8609,Texas Tech,3
R64,Kansas,7,Arkansas,10,0.7945,Kansas,7
R64,St. John's,2,Nebraska Omaha,15,0.9263,St. John's,2
R32,Florida,1,Connecticut,8,0.6237,Florida,1
R32,Memphis,5,Maryland,4,0.3156,Maryland,4
R32,Missouri,6,Texas Tech,3,0.2984,Texas Tech,3
R32,Kansas,7,St. John's,2,0.4938,St. John's,2
S16,Florida,1,Maryland,4,0.6744,Florida,1
S16,Texas Tech,3,St. John's,2,0.4086,St. John's,2
E8,Florida,1,St. John's,2,0.5993,Florida,1
R64,Duke,1,Mount St. Mary's,16,0.984,Duke,1
R64,Mississippi St.,8,Baylor,9,0.387,Baylor,9
R64,Oregon,5,Liberty,12,0.7877,Oregon,5
R64,Arizona,4,Akron,13,0.7907,Arizona,4
R64,BYU,6,VCU,11,0.5102,BYU,6
R64,Wisconsin,3,Montana,14,0.9304,Wisconsin,3
R64,Saint Mary's,7,Vanderbilt,10,0.7042,Saint Mary's,7
R64,Alabama,2,Robert Morris,15,0.8245,Alabama,2
R32,Duke,1,Baylor,9,0.8676,Duke,1
R32,Oregon,5,Arizona,4,0.375,Arizona,4
R32,BYU,6,Wisconsin,3,0.3682,Wisconsin,3
R32,Saint Mary's,7,Alabama,2,0.4884,Alabama,2
S16,Duke,1,Arizona,4,0.8136,Duke,1
S16,Wisconsin,3,Alabama,2,0.5131,Wisconsin,3
E8,Duke,1,Wisconsin,3,0.8,Duke,1
R64,Houston,1,SIU Edwardsville,16,0.9781,Houston,1
R64,Gonzaga,8,Georgia,9,0.7625,Gonzaga,8
R64,Clemson,5,McNeese St.,12,0.8291,Clemson,5
R64,Purdue,4,High Point,13,0.7687,Purdue,4
R64,Illinois,6,Xavier,11,0.568,Illinois,6
R64,Kentucky,3,Troy,14,0.8383,Kentucky,3
R64,UCLA,7,Utah St.,10,0.7523,UCLA,7
R64,Tennessee,2,Wofford,15,0.9412,Tennessee,2
R32,Houston,1,Gonzaga,8,0.6902,Houston,1
R32,Clemson,5,Purdue,4,0.5441,Clemson,5
R32,Illinois,6,Kentucky,3,0.3888,Kentucky,3
R32,UCLA,7,Tennessee,2,0.3423,Tennessee,2
S16,Houston,1,Clemson,5,0.7481,Houston,1
S16,Kentucky,3,Tennessee,2,0.351,Tennessee,2
E8,Houston,1,Tennessee,2,0.7185,Houston,1
F4,Auburn,1,Florida,1,0.4447,Florida,1
F4,Duke,1,Houston,1,0.4651,Houston,1
CHAMP,Florida,1,Houston,1,0.2742,Houston,1
