TEAM_NO,TEAM,SEED,REGION,R64,R32,S16,E8,F4,F2,CHAMP
1132,Duke,1,South,1.0,0.9132,0.817,0.6861,0.5572,0.3581,0.2542
1126,Houston,1,Midwest,1.0,0.9074,0.6972,0.5776,0.43,0.2783,0.2071
1131,Florida,1,West,1.0,0.9117,0.7349,0.548,0.3802,0.2371,0.1097
1141,Auburn,1,East,1.0,0.904,0.6521,0.4774,0.3297,0.2028,0.098
1094,Tennessee,2,Midwest,1.0,0.9073,0.6499,0.4498,0.207,0.095,0.0511
1113,Michigan St.,2,East,1.0,0.8875,0.5893,0.3483,0.1744,0.0886,0.0303
1146,Alabama,2,South,1.0,0.8733,0.6112,0.3663,0.1218,0.0521,0.0255
1091,Texas Tech,3,West,1.0,0.8854,0.5584,0.3171,0.1361,0.0735,0.0245
1117,Maryland,4,West,1.0,0.884,0.6661,0.2529,0.1309,0.0695,0.0228
1143,Arizona,4,South,1.0,0.8706,0.6312,0.1765,0.098,0.0408,0.0179
1095,St. John's,2,West,1.0,0.9051,0.5305,0.2808,0.1305,0.0634,0.0175
1124,Iowa St.,3,East,1.0,0.8765,0.4814,0.2668,0.1262,0.0495,0.0148
1129,Gonzaga,8,Midwest,1.0,0.693,0.225,0.136,0.0761,0.0257,0.0132
1083,Wisconsin,3,South,1.0,0.8859,0.4619,0.2359,0.0707,0.0246,0.0114
1101,Purdue,4,Midwest,1.0,0.8578,0.4888,0.139,0.0674,0.022,0.0094
1119,Louisville,8,East,1.0,0.6051,0.2181,0.1322,0.0713,0.0295,0.0089
1137,Clemson,5,Midwest,1.0,0.7676,0.4168,0.1087,0.0515,0.0176,0.0085
1092,Texas A&M,4,East,1.0,0.8136,0.4948,0.1739,0.078,0.0321,0.0081
1123,Kansas,7,West,1.0,0.5693,0.2724,0.1367,0.0584,0.0253,0.0076
1110,Missouri,6,West,1.0,0.6936,0.3508,0.1735,0.0656,0.0286,0.0071
1122,Kentucky,3,Midwest,1.0,0.8285,0.4917,0.1962,0.0621,0.0164,0.0064
1098,Saint Mary's,7,South,1.0,0.7704,0.3183,0.151,0.0408,0.0123,0.0053
1125,Illinois,6,Midwest,1.0,0.6328,0.3252,0.1384,0.0435,0.0125,0.0051
1138,BYU,6,South,1.0,0.6133,0.3589,0.1619,0.0457,0.0146,0.005
1104,North Carolina,11,East,1.0,0.4954,0.2527,0.1138,0.0406,0.0142,0.0046
1118,Marquette,7,East,1.0,0.6791,0.2766,0.1363,0.0492,0.0167,0.004
1114,Michigan,5,East,1.0,0.6976,0.3471,0.1284,0.0586,0.0213,0.0039
1088,UCLA,7,Midwest,1.0,0.7206,0.2654,0.1376,0.0354,0.0093,0.0034
1135,Connecticut,8,West,1.0,0.5902,0.1595,0.082,0.0391,0.0137,0.0032
1140,Baylor,9,South,1.0,0.5769,0.0984,0.0448,0.0179,0.0066,0.0022
1102,Oregon,5,South,1.0,0.6802,0.2481,0.0428,0.0168,0.0047,0.0017
1112,Mississippi,6,East,1.0,0.5046,0.2466,0.0864,0.0265,0.007,0.0016
1134,Creighton,9,East,1.0,0.3949,0.1192,0.0533,0.0212,0.0058,0.0013
1142,Arkansas,10,West,1.0,0.4307,0.1848,0.0647,0.0175,0.0051,0.001
1111,Mississippi St.,8,South,1.0,0.4231,0.0741,0.0312,0.0105,0.0021,0.0007
1115,Memphis,5,West,1.0,0.4898,0.1361,0.0386,0.0124,0.0043,0.0006
1106,New Mexico,10,East,1.0,0.3209,0.1186,0.0427,0.0142,0.0035,0.0006
1084,VCU,11,South,1.0,0.3867,0.1667,0.063,0.0136,0.0018,0.0004
1089,UC San Diego,12,East,1.0,0.3024,0.1183,0.0273,0.0084,0.0015,0.0004
1136,Colorado St.,12,West,1.0,0.5102,0.1605,0.04,0.0127,0.0033,0.0003
1130,Georgia,9,Midwest,1.0,0.307,0.0656,0.0251,0.0094,0.0018,0.0003
1103,Oklahoma,9,West,1.0,0.4098,0.0946,0.0314,0.0101,0.0024,0.0002
1081,Xavier,11,Midwest,1.0,0.3672,0.1478,0.047,0.0096,0.0013,0.0001
1133,Drake,11,West,1.0,0.3064,0.0671,0.022,0.0048,0.0009,0.0001
1086,Utah St.,10,Midwest,1.0,0.2794,0.0767,0.0257,0.0048,0.0009,0.0
1085,Vanderbilt,10,South,1.0,0.2296,0.0536,0.0182,0.0033,0.0008,0.0
1121,Liberty,12,South,1.0,0.3198,0.0851,0.0132,0.0032,0.0007,0.0
1080,Yale,13,East,1.0,0.1864,0.0398,0.006,0.0011,0.0002,0.0
1120,Lipscomb,14,East,1.0,0.1235,0.0193,0.0027,0.0003,0.0001,0.0
1128,Grand Canyon,13,West,1.0,0.116,0.0373,0.0061,0.0009,0.0001,0.0
1145,Alabama St.,16,East,1.0,0.096,0.0106,0.0015,0.0,0.0,0.0
1139,Bryant,15,East,1.0,0.1125,0.0155,0.003,0.0003,0.0,0.0
1105,Norfolk St.,16,West,1.0,0.0883,0.011,0.001,0.0002,0.0,0.0
1087,UNC Wilmington,14,West,1.0,0.1146,0.0237,0.0034,0.0003,0.0,0.0
1107,Nebraska Omaha,15,West,1.0,0.0949,0.0123,0.0018,0.0003,0.0,0.0
1108,Mount St. Mary's,16,South,1.0,0.0868,0.0105,0.001,0.0,0.0,0.0
1147,Akron,13,South,1.0,0.1294,0.0356,0.0044,0.0003,0.0,0.0
1109,Montana,14,South,1.0,0.1141,0.0125,0.002,0.0001,0.0,0.0
1100,Robert Morris,15,South,1.0,0.1267,0.0169,0.0017,0.0001,0.0,0.0
1096,SIU Edwardsville,16,Midwest,1.0,0.0926,0.0122,0.0014,0.0003,0.0,0.0
1116,McNeese St.,12,Midwest,1.0,0.2324,0.0683,0.0084,0.0021,0.0,0.0
1127,High Point,13,Midwest,1.0,0.1422,0.0261,0.0038,0.0007,0.0,0.0
1090,Troy,14,Midwest,1.0,0.1715,0.0353,0.0041,0.0001,0.0,0.0
1082,Wofford,15,Midwest,1.0,0.0927,0.008,0.0012,0.0,0.0,0.0
