TEAM_NO,TEAM,SEED,REGION,R64,R32,S16,E8,F4,F2,CHAMP
1126,Houston,1,Midwest,1.0,0.9004,0.7167,0.6057,0.4489,0.298,0.2018
1132,Duke,1,South,1.0,0.8704,0.7296,0.5778,0.442,0.276,0.1818
1131,Florida,1,West,1.0,0.9184,0.7378,0.5718,0.4263,0.2818,0.1589
1141,Auburn,1,East,1.0,0.9142,0.7199,0.5572,0.3989,0.2347,0.1247
1094,Tennessee,2,Midwest,1.0,0.9068,0.6691,0.4642,0.2141,0.1047,0.0518
1146,Alabama,2,South,1.0,0.84,0.6122,0.3868,0.1696,0.0776,0.0375
1113,Michigan St.,2,East,1.0,0.912,0.6459,0.4155,0.2023,0.0958,0.0361
1117,Maryland,4,West,1.0,0.8878,0.6909,0.249,0.134,0.0652,0.0211
1091,Texas Tech,3,West,1.0,0.8633,0.5058,0.2927,0.1161,0.0546,0.0178
1143,Arizona,4,South,1.0,0.8801,0.6094,0.2093,0.1079,0.0398,0.0165
1083,Wisconsin,3,South,1.0,0.8874,0.5042,0.2629,0.0996,0.0385,0.0164
1095,St. John's,2,West,1.0,0.8683,0.5274,0.2723,0.1122,0.0482,0.0156
1122,Kentucky,3,Midwest,1.0,0.8697,0.5474,0.2371,0.0876,0.0344,0.0145
1124,Iowa St.,3,East,1.0,0.8843,0.5322,0.2585,0.1133,0.0475,0.0141
1110,Missouri,6,West,1.0,0.6734,0.3764,0.2115,0.0781,0.0358,0.012
1129,Gonzaga,8,Midwest,1.0,0.6889,0.2068,0.1254,0.0674,0.0268,0.0118
1101,Purdue,4,Midwest,1.0,0.8656,0.5447,0.1499,0.0658,0.0236,0.0085
1125,Illinois,6,Midwest,1.0,0.7125,0.3351,0.14,0.044,0.0153,0.0059
1092,Texas A&M,4,East,1.0,0.8211,0.4629,0.1478,0.0599,0.0218,0.0054
1114,Michigan,5,East,1.0,0.6365,0.3525,0.1165,0.0516,0.0182,0.0048
1118,Marquette,7,East,1.0,0.7024,0.2536,0.1344,0.049,0.0175,0.0047
1123,Kansas,7,West,1.0,0.5921,0.2741,0.1199,0.0434,0.0161,0.0046
1138,BYU,6,South,1.0,0.645,0.3381,0.1424,0.0479,0.0134,0.0045
1119,Louisville,8,East,1.0,0.6065,0.1732,0.0963,0.0445,0.0161,0.0044
1098,Saint Mary's,7,South,1.0,0.725,0.2888,0.1279,0.0406,0.01,0.0032
1137,Clemson,5,Midwest,1.0,0.7536,0.3552,0.0785,0.0284,0.0092,0.0027
1135,Connecticut,8,West,1.0,0.5601,0.1501,0.0711,0.0301,0.0095,0.0026
1088,UCLA,7,Midwest,1.0,0.7066,0.2434,0.1074,0.0242,0.0074,0.0024
1112,Mississippi,6,East,1.0,0.5808,0.2718,0.089,0.0273,0.0084,0.0019
1102,Oregon,5,South,1.0,0.6879,0.2827,0.0739,0.0273,0.0064,0.0017
1140,Baylor,9,South,1.0,0.4971,0.1251,0.0534,0.019,0.005,0.0014
1104,North Carolina,11,East,1.0,0.4192,0.1753,0.0649,0.0174,0.0048,0.0012
1111,Mississippi St.,8,South,1.0,0.5029,0.1272,0.0605,0.0204,0.0047,0.0012
1142,Arkansas,10,West,1.0,0.4078,0.169,0.0601,0.0157,0.0041,0.0008
1134,Creighton,9,East,1.0,0.3935,0.0939,0.0361,0.0126,0.0036,0.0007
1089,UC San Diego,12,East,1.0,0.3635,0.1441,0.0392,0.0126,0.0032,0.0007
1084,VCU,11,South,1.0,0.355,0.1453,0.0474,0.0129,0.0026,0.0006
1103,Oklahoma,9,West,1.0,0.4399,0.0983,0.0351,0.013,0.0034,0.0005
1130,Georgia,9,Midwest,1.0,0.3111,0.0624,0.0253,0.008,0.0018,0.0005
1115,Memphis,5,West,1.0,0.4665,0.1239,0.0323,0.01,0.0028,0.0004
1136,Colorado St.,12,West,1.0,0.5335,0.1533,0.0341,0.0109,0.0027,0.0004
1106,New Mexico,10,East,1.0,0.2977,0.089,0.0331,0.009,0.002,0.0004
1133,Drake,11,West,1.0,0.3266,0.0946,0.0345,0.0076,0.0017,0.0003
1085,Vanderbilt,10,South,1.0,0.275,0.0737,0.0266,0.0066,0.0016,0.0003
1081,Xavier,11,Midwest,1.0,0.2875,0.0958,0.0249,0.0045,0.001,0.0002
1086,Utah St.,10,Midwest,1.0,0.2934,0.0742,0.0221,0.0042,0.0008,0.0001
1121,Liberty,12,South,1.0,0.3121,0.0815,0.0184,0.0041,0.0007,0.0001
1116,McNeese St.,12,Midwest,1.0,0.2464,0.0725,0.0096,0.0017,0.0003,0.0
1080,Yale,13,East,1.0,0.1789,0.0405,0.0054,0.0009,0.0001,0.0
1120,Lipscomb,14,East,1.0,0.1157,0.0207,0.0029,0.0004,0.0001,0.0
1128,Grand Canyon,13,West,1.0,0.1122,0.0319,0.005,0.0009,0.0001,0.0
1087,UNC Wilmington,14,West,1.0,0.1367,0.0232,0.0038,0.0005,0.0001,0.0
1107,Nebraska Omaha,15,West,1.0,0.1317,0.0295,0.005,0.0009,0.0001,0.0
1147,Akron,13,South,1.0,0.1199,0.0265,0.0045,0.0006,0.0001,0.0
1100,Robert Morris,15,South,1.0,0.16,0.0253,0.0044,0.0008,0.0001,0.0
1145,Alabama St.,16,East,1.0,0.0858,0.0129,0.0016,0.0002,0.0,0.0
1139,Bryant,15,East,1.0,0.088,0.0115,0.0018,0.0002,0.0,0.0
1105,Norfolk St.,16,West,1.0,0.0816,0.0138,0.0017,0.0002,0.0,0.0
1108,Mount St. Mary's,16,South,1.0,0.1296,0.0181,0.0022,0.0004,0.0,0.0
1109,Montana,14,South,1.0,0.1126,0.0124,0.0017,0.0003,0.0,0.0
1096,SIU Edwardsville,16,Midwest,1.0,0.0996,0.014,0.002,0.0003,0.0,0.0
1127,High Point,13,Midwest,1.0,0.1344,0.0276,0.0035,0.0006,0.0,0.0
1090,Troy,14,Midwest,1.0,0.1303,0.0218,0.0028,0.0003,0.0,0.0
1082,Wofford,15,Midwest,1.0,0.0932,0.0132,0.0015,0.0002,0.0,0.0
