YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM
2025,1147,Akron,13,64,97,0.7011,97,0.802,140,103.4,35,93.3,,10.1,328,0.4606,39,93.65,95,97.65,87,99,-4
2025,1146,Alabama,2,8,4,0.941,4,0.9568,189,103.1,117,101.4,,1.7,342,0.4703,1,122.04,4,78.64,4,8,43.4
2025,1145,Alabama St.,16,64,266,0.4632,232,0.6441,64,114.1,194,107.8,,6.3,254,0.5338,252,71.02,231,107.93,255,271,-36.91
2025,1144,American,16,68,253,0.4814,257,0.6218,165,106.5,96,102.4,,4.1,205,0.5723,305,66.29,287,112.7,267,243,-46.41
2025,1143,Arizona,2,16,11,0.8972,14,0.922,121,105.6,155,102.2,,3.4,260,0.5146,9,105.41,22,85.75,15,15,19.66
2025,1142,Arkansas,10,16,44,0.8113,58,0.8519,80,107.9,37,94.2,,13.7,138,0.6161,57,89.86,15,83.18,25,41,6.68
2025,1141,Auburn,1,4,2,0.9667,3,0.9818,3,128.9,39,97.3,,31.6,1,0.8208,3,113.57,14,82.51,10,4,31.06
2025,1140,Baylor,9,32,31,0.8402,40,0.8772,2,126.9,124,103.8,,23.1,1,0.8012,27,95.49,83,96.38,52,26,-0.89
2025,1139,Bryant,15,64,147,0.6117,152,0.7335,16,117.6,4,88.8,,28.8,7,0.7837,108,83.24,76,94.43,98,149,-11.19
2025,1138,BYU,6,16,22,0.86,23,0.9047,11,117.1,103,99.3,,17.8,1,0.7543,12,102.55,77,94.44,46,22,8.11
2025,1137,Clemson,5,64,21,0.8631,21,0.9064,33,112.6,3,86.9,,25.7,15,0.7681,48,91.62,40,89.34,23,14,2.28
2025,1136,Colorado St.,12,32,52,0.7984,51,0.8621,111,108.6,12,94.4,,14.2,10,0.7646,60,89.55,73,93.99,56,40,-4.44
2025,1135,Connecticut,8,32,34,0.8354,53,0.8568,106,105.8,8,89.4,,16.4,31,0.7061,26,95.93,151,102.34,85,31,-6.41
2025,1134,Creighton,9,32,36,0.8299,52,0.8577,277,100.5,246,110.6,,-10.1,351,0.4544,45,92.46,50,91.07,41,36,1.39
